2019-06-11T13:12:35.859162Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-109,-116]","[4,-6]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[2075421964,2037410780]"

2019-06-11T13:12:51.624497Z,"[""eui-0000024b08031311""]",[-114],[3],[43.47488],[5.6076],[241],[3794590908]

2019-06-11T13:12:58.867781Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-107,-117]","[5.5,-6.5]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[2098432996,2060421820]"

2019-06-11T13:13:00.858068Z,"[""eui-b827ebfffe869f8d""]",[-108],[6.8],[43.61499],[7.07144],[129],[2100420740]

2019-06-11T13:13:07.870422Z,"[""eui-0000024b08031311""]",[-114],[-1],[43.47493],[5.60763],[224],[3810836836]

2019-06-11T13:13:23.867932Z,"[""eui-b827ebfffe869f8d"",""eui-b827ebfffe962101""]","[-102,-119]","[8,-8]","[43.61499,43.61523]","[7.07144,7.07274]","[129,113]","[2123431596,2085420428]"

2019-06-11T13:13:24.116394Z,"[""eui-0000024b08031311""]",[-117],[-7.8],[43.47494],[5.60764],[217],[3827082812]

2019-06-11T13:13:25.853195Z,"[""eui-b827ebfffe869f8d""]",[-111],[1],[43.61499],[7.07144],[129],[2125419428]

2019-06-11T13:13:33.848046Z,"[""eui-0000024b08031311""]",[-111],[6],[43.47494],[5.60764],[217],[3836814468]

2019-06-11T13:13:40.362326Z,"[""eui-0000024b08031311""]",[-114],[0.8],[43.47494],[5.60764],[217],[3843328748]

2019-06-11T13:13:48.868615Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-119,-107]","[-11,7]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[2110420004,2148431164]"

2019-06-11T13:13:50.856509Z,"[""eui-b827ebfffe869f8d""]",[-109],[3.8],[43.61499],[7.07144],[129],[2150418284]

2019-06-11T13:13:56.608296Z,"[""eui-0000024b08031311""]",[-119],[3.5],[43.47488],[5.60761],[229],[3859574724]

2019-06-11T13:14:12.854229Z,"[""eui-0000024b08031311""]",[-114],[3.5],[43.47488],[5.60761],[229],[3875820660]

2019-06-11T13:14:13.867041Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-105]","[-11.2,7.2]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[2135418652,2173429804]"

2019-06-11T13:14:15.852478Z,"[""eui-b827ebfffe962101"",""eui-b827ebfffe869f8d""]","[-117,-111]","[-7.5,-1]","[43.61523,43.61499]","[7.07274,7.07144]","[113,129]","[2137406868,2175418020]"

2019-06-11T13:14:29.100184Z,"[""eui-0000024b08031311""]",[-119],[-1.5],[43.47488],[5.60763],[225],[3892066620]

